 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

       12.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       12.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       13.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       14.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       15.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       16.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       17.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       18.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       19.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       20.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       21.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       22.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       23.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       24.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
